tool,official_site,google_search,iconduck_search,seeklogo_search
ChatPDF,/httpservice/retry/enablejs?sei=HskUaezwL764vr0Py5vnmQY,https://www.google.com/search?tbm=isch&q=ChatPDF%20logo,https://iconduck.com/search?q=ChatPDF%20logo,https://seeklogo.com/search?q=ChatPDF%20logo
DocGPT,/httpservice/retry/enablejs?sei=HskUabKrNum7vr0P-83VsQo,https://www.google.com/search?tbm=isch&q=DocGPT%20logo,https://iconduck.com/search?q=DocGPT%20logo,https://seeklogo.com/search?q=DocGPT%20logo
Voiceflow,/httpservice/retry/enablejs?sei=H8kUaZ878P3V7w-y14fRBQ,https://www.google.com/search?tbm=isch&q=Voiceflow%20logo,https://iconduck.com/search?q=Voiceflow%20logo,https://seeklogo.com/search?q=Voiceflow%20logo
Retell AI,/httpservice/retry/enablejs?sei=H8kUafT1B-Ki1e8PkKis6AU,https://www.google.com/search?tbm=isch&q=Retell%20AI%20logo,https://iconduck.com/search?q=Retell%20AI%20logo,https://seeklogo.com/search?q=Retell%20AI%20logo
ElevenLabs,/httpservice/retry/enablejs?sei=H8kUab3UD9H61e8P95jUsQE,https://www.google.com/search?tbm=isch&q=ElevenLabs%20logo,https://iconduck.com/search?q=ElevenLabs%20logo,https://seeklogo.com/search?q=ElevenLabs%20logo
Vapi,/httpservice/retry/enablejs?sei=H8kUac-HGOjM1e8Ps46riAU,https://www.google.com/search?tbm=isch&q=Vapi%20logo,https://iconduck.com/search?q=Vapi%20logo,https://seeklogo.com/search?q=Vapi%20logo
Notta,/httpservice/retry/enablejs?sei=H8kUaaXxH5mWvr0Pp7SdwQs,https://www.google.com/search?tbm=isch&q=Notta%20logo,https://iconduck.com/search?q=Notta%20logo,https://seeklogo.com/search?q=Notta%20logo
AssemblyAI,/httpservice/retry/enablejs?sei=H8kUaeS7LrO6vr0Pk_OKwQQ,https://www.google.com/search?tbm=isch&q=AssemblyAI%20logo,https://iconduck.com/search?q=AssemblyAI%20logo,https://seeklogo.com/search?q=AssemblyAI%20logo
Salesforce,/httpservice/retry/enablejs?sei=H8kUaZekNdvn1e8PhY6vkAI,https://www.google.com/search?tbm=isch&q=Salesforce%20logo,https://iconduck.com/search?q=Salesforce%20logo,https://seeklogo.com/search?q=Salesforce%20logo
Monday,/httpservice/retry/enablejs?sei=H8kUaarnPMfT1e8P1reM6QE,https://www.google.com/search?tbm=isch&q=Monday%20logo,https://iconduck.com/search?q=Monday%20logo,https://seeklogo.com/search?q=Monday%20logo
ClickUp,/httpservice/retry/enablejs?sei=IMkUabf4Br-Vvr0Pl92_oQI,https://www.google.com/search?tbm=isch&q=ClickUp%20logo,https://iconduck.com/search?q=ClickUp%20logo,https://seeklogo.com/search?q=ClickUp%20logo
Trello,/httpservice/retry/enablejs?sei=IMkUaeezDraPvr0P-4Ka-Q0,https://www.google.com/search?tbm=isch&q=Trello%20logo,https://iconduck.com/search?q=Trello%20logo,https://seeklogo.com/search?q=Trello%20logo
Linear,/httpservice/retry/enablejs?sei=IMkUacb4FcOLvr0PwJ32qQE,https://www.google.com/search?tbm=isch&q=Linear%20logo,https://iconduck.com/search?q=Linear%20logo,https://seeklogo.com/search?q=Linear%20logo
Jira,/httpservice/retry/enablejs?sei=IMkUadvDHb_j1e8PheSGuQY,https://www.google.com/search?tbm=isch&q=Jira%20logo,https://iconduck.com/search?q=Jira%20logo,https://seeklogo.com/search?q=Jira%20logo
Metabase,/httpservice/retry/enablejs?sei=IMkUaY2FJsDX1e8P-5iR4QU,https://www.google.com/search?tbm=isch&q=Metabase%20logo,https://iconduck.com/search?q=Metabase%20logo,https://seeklogo.com/search?q=Metabase%20logo
Superset,/httpservice/retry/enablejs?sei=IMkUaeCDLsjAvr0Ps-WBiAc,https://www.google.com/search?tbm=isch&q=Superset%20logo,https://iconduck.com/search?q=Superset%20logo,https://seeklogo.com/search?q=Superset%20logo
Hex,/httpservice/retry/enablejs?sei=IMkUab3wNfn41e8P9IWgsAs,https://www.google.com/search?tbm=isch&q=Hex%20logo,https://iconduck.com/search?q=Hex%20logo,https://seeklogo.com/search?q=Hex%20logo
dbdiagram,/httpservice/retry/enablejs?sei=IckUaYs83svV7w_Q7YiwDg,https://www.google.com/search?tbm=isch&q=dbdiagram%20logo,https://iconduck.com/search?q=dbdiagram%20logo,https://seeklogo.com/search?q=dbdiagram%20logo
DataGrip,/httpservice/retry/enablejs?sei=IckUaaTOB63b1e8Pg7mH6QM,https://www.google.com/search?tbm=isch&q=DataGrip%20logo,https://iconduck.com/search?q=DataGrip%20logo,https://seeklogo.com/search?q=DataGrip%20logo
Prisma,/httpservice/retry/enablejs?sei=IckUafDyD6-Qvr0P5ZuDyAw,https://www.google.com/search?tbm=isch&q=Prisma%20logo,https://iconduck.com/search?q=Prisma%20logo,https://seeklogo.com/search?q=Prisma%20logo
Drizzle,/httpservice/retry/enablejs?sei=IckUaZvTF4LF1e8Pl9iB6Ak,https://www.google.com/search?tbm=isch&q=Drizzle%20logo,https://iconduck.com/search?q=Drizzle%20logo,https://seeklogo.com/search?q=Drizzle%20logo
Livekit,/httpservice/retry/enablejs?sei=IckUaZSLH4fq1e8PlJmjkAQ,https://www.google.com/search?tbm=isch&q=Livekit%20logo,https://iconduck.com/search?q=Livekit%20logo,https://seeklogo.com/search?q=Livekit%20logo
Dyad,/httpservice/retry/enablejs?sei=IckUaeHwJdS_vr0Pt5mciA0,https://www.google.com/search?tbm=isch&q=Dyad%20logo,https://iconduck.com/search?q=Dyad%20logo,https://seeklogo.com/search?q=Dyad%20logo
Chainlit,/httpservice/retry/enablejs?sei=IckUaZX0Lba6vr0PhMjskQo,https://www.google.com/search?tbm=isch&q=Chainlit%20logo,https://iconduck.com/search?q=Chainlit%20logo,https://seeklogo.com/search?q=Chainlit%20logo
Gradio,/httpservice/retry/enablejs?sei=IckUaemtNZ23vr0P5rOI0Qo,https://www.google.com/search?tbm=isch&q=Gradio%20logo,https://iconduck.com/search?q=Gradio%20logo,https://seeklogo.com/search?q=Gradio%20logo
HuggingFace Spaces,/httpservice/retry/enablejs?sei=IskUadQDq7u-vQ_MyMLBCw,https://www.google.com/search?tbm=isch&q=HuggingFace%20Spaces%20logo,https://iconduck.com/search?q=HuggingFace%20Spaces%20logo,https://seeklogo.com/search?q=HuggingFace%20Spaces%20logo
Kaggle,/httpservice/retry/enablejs?sei=IskUaYrnB4bT1e8P46jgkAo,https://www.google.com/search?tbm=isch&q=Kaggle%20logo,https://iconduck.com/search?q=Kaggle%20logo,https://seeklogo.com/search?q=Kaggle%20logo
GitHub Copilot,/httpservice/retry/enablejs?sei=IskUaZzFEPPT1e8P1fnAKQ,https://www.google.com/search?tbm=isch&q=GitHub%20Copilot%20logo,https://iconduck.com/search?q=GitHub%20Copilot%20logo,https://seeklogo.com/search?q=GitHub%20Copilot%20logo
